Year,typhoon_key,region_key,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Cumulative_Budget_To_Date,Cumulative_Variance_To_Date,Variance_Ratio_To_Date,typhoon_name_info_infra,Region_info_infra,Date,Province,Location,infra_project_count,typhoon_name_impact,Region_impact,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),_merge,merge_source,has_infra_weather_data,has_impact_data
2024,JULIAN,REGION II,1859.0,174.0,14008190116.160002,118562885.42000002,0.03331484110409765,Julian,Region II,2024-09-30,Cagayan,"Calayan, Cagayan",4.0,Julian,Region II,Super Typhoon,1.0,12.0,43477.0,107.0,2087.0,2194.0,189062000.0,129600666.4,both,both,True,True
2024,KRISTINE,REGION IV A,775.9000000000001,50.0,12542421401.810001,126538593.27999993,0.0099976387871036,Kristine,Region IV-A,2024-10-20,Batangas,"Ambulong, Tanauan City, Batangas",2.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,KRISTINE,REGION V,1365.5,75.375,24560252474.960003,2431221738.5299997,0.0917552490858426,Kristine,Region V,2024-10-20,Albay,"Legazpi City, Albay",3.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,KRISTINE AND LEON,BARMM,,,,,,,,,,,,Kristine and Leon,BARMM,Combined Effects,0.0,0.0,504766.0,99.0,147.0,246.0,0.0,0.0,right_only,impact_only,False,True
2024,KRISTINE AND LEON,CALABARZON,,,,,,,,,,,,Kristine and Leon,CALABARZON,Combined Effects,0.0,2.0,1683269.0,7789.0,69646.0,77435.0,2704248400.73,553950227.89,right_only,impact_only,False,True
2024,KRISTINE AND LEON,CAR,,,,,,,,,,,,Kristine and Leon,CAR,Combined Effects,3.0,4.0,27660.0,6.0,345.0,351.0,101533428.4,22462246.6,right_only,impact_only,False,True
2024,KRISTINE AND LEON,CARAGA,,,,,,,,,,,,Kristine and Leon,CARAGA,Combined Effects,0.0,0.0,58224.0,23.0,183.0,206.0,65000.0,0.0,right_only,impact_only,False,True
2024,KRISTINE AND LEON,NCR,,,,,,,,,,,,Kristine and Leon,NCR,Combined Effects,0.0,0.0,232700.0,0.0,0.0,0.0,0.0,0.0,right_only,impact_only,False,True
2024,KRISTINE AND LEON,REGION I,,,,,,,,,,,,Kristine and Leon,Region I,Combined Effects,0.0,0.0,571291.0,273.0,7941.0,8214.0,150500000.0,636555655.83,right_only,impact_only,False,True
2024,KRISTINE AND LEON,REGION II,,,,,,,,,,,,Kristine and Leon,Region II,Combined Effects,1.0,0.0,246665.0,13.0,594.0,607.0,116441369.8,666014061.82,right_only,impact_only,False,True
2024,KRISTINE AND LEON,REGION III,,,,,,,,,,,,Kristine and Leon,Region III,Combined Effects,2.0,4.0,1145022.0,14.0,135.0,149.0,1567066804.87,455033854.99,right_only,impact_only,False,True
