Cyclone Name,Region,Year,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP)
Aghon,Region VIII,2024,Typhoon,0,0,2031,4,17,21,0.0,0.0
Aghon,Region X,2024,Typhoon,1,1,0,0,0,0,0.0,0.0
Butchoy and Carina,BARMM,2024,Combined Effects,1,0,552971,1,5,6,0.0,0.0
Butchoy and Carina,CALABARZON,2024,Combined Effects,5,0,431459,947,6017,6964,340987686.58,71216065.48
Butchoy and Carina,CAR,2024,Combined Effects,0,0,120941,19,189,208,327111236.87,17120879.52
Butchoy and Carina,CARAGA,2024,Combined Effects,0,0,102,1,4,5,0.0,0.0
Butchoy and Carina,NCR,2024,Combined Effects,0,0,754446,0,0,0,0.0,0.0
Butchoy and Carina,Region I,2024,Combined Effects,0,0,440265,14,607,621,1856533490.46,1057920182.39
Butchoy and Carina,Region II,2024,Combined Effects,0,0,15115,4,36,40,109458191.44,56517537.25
Butchoy and Carina,Region III,2024,Combined Effects,2,7,3447004,487,354,841,1716909898.92,2523341865.15
Butchoy and Carina,Region IV-B,2024,Combined Effects,0,0,165111,40,479,519,1557124830.42,236443449.26
Butchoy and Carina,Region IX,2024,Combined Effects,4,0,134393,20,24,44,0.0,8332258.6
Butchoy and Carina,Region V,2024,Combined Effects,0,0,56205,21,80,101,0.0,48852959.91
Butchoy and Carina,Region VI,2024,Combined Effects,0,0,57473,49,250,299,0.0,77256054.21
Butchoy and Carina,Region VII,2024,Combined Effects,0,0,32601,4,9,13,0.0,0.0
Butchoy and Carina,Region VIII,2024,Combined Effects,0,0,8805,0,0,0,69569062.43,9557221.86
Butchoy and Carina,Region X,2024,Combined Effects,1,2,12081,12,17,29,4535019.28,31826726.84
Butchoy and Carina,Region XI,2024,Combined Effects,1,0,1804,14,46,60,0.0,0.0
Butchoy and Carina,Region XII,2024,Combined Effects,0,0,268142,25,15,40,0.0,247891860.99
Enteng,CALABARZON,2024,Severe Tropical Storm,0,0,143562,400,866,1266,87333700.0,0.0
Enteng,CAR,2024,Severe Tropical Storm,0,0,4676,0,9,9,50355028.65,0.0
Enteng,NCR,2024,Severe Tropical Storm,0,0,321911,0,0,0,0.0,0.0
Enteng,Region I,2024,Severe Tropical Storm,0,1,180607,2,20,22,69500000.0,23602504.0
Enteng,Region II,2024,Severe Tropical Storm,0,1,7764,0,0,0,111920772.5,83623466.25
Enteng,Region III,2024,Severe Tropical Storm,0,0,930343,14,83,97,0.0,1100469046.81
Enteng,Region V,2024,Severe Tropical Storm,0,0,1199257,63,5656,5719,356146667.5,688367118.09
Enteng,Region VI,2024,Severe Tropical Storm,1,0,1199,0,2,2,0.0,7446882.9
Enteng,Region VII,2024,Severe Tropical Storm,0,0,74,5,5,10,0.0,0.0
Enteng,Region VIII,2024,Severe Tropical Storm,0,0,215213,14,486,500,23645000.0,4117450.38
Ferdie and Gener and Helen and Igme,BARMM,2024,Combined Effects,0,0,304560,43,219,262,0.0,0.0
Ferdie and Gener and Helen and Igme,CAR,2024,Combined Effects,0,0,6423,0,3,3,20170000.0,0.0
Ferdie and Gener and Helen and Igme,CARAGA,2024,Combined Effects,0,0,79,0,11,11,0.0,0.0
Ferdie and Gener and Helen and Igme,Region II,2024,Combined Effects,0,0,7381,2,13,15,0.0,0.0
Ferdie and Gener and Helen and Igme,Region III,2024,Combined Effects,0,0,350422,0,0,0,0.0,0.0
Ferdie and Gener and Helen and Igme,Region IV-B,2024,Combined Effects,4,3,86430,31,254,285,0.0,739767570.46
Ferdie and Gener and Helen and Igme,Region IX,2024,Combined Effects,0,0,19121,90,136,226,0.0,1190730.0
Ferdie and Gener and Helen and Igme,Region V,2024,Combined Effects,0,0,309645,1,0,1,0.0,0.0
Ferdie and Gener and Helen and Igme,Region VI,2024,Combined Effects,0,0,462679,207,1915,2122,200000.0,351011392.06
Ferdie and Gener and Helen and Igme,Region VII,2024,Combined Effects,0,0,33613,38,64,102,0.0,0.0
Ferdie and Gener and Helen and Igme,Region X,2024,Combined Effects,0,0,19630,51,554,605,2317500.0,0.0
Ferdie and Gener and Helen and Igme,Region XI,2024,Combined Effects,0,0,409,4,6,10,0.0,0.0
Ferdie and Gener and Helen and Igme,Region XII,2024,Combined Effects,0,0,29127,2,5,7,0.0,0.0
